code,studio
01S,01_STUDIO P.I.
110S,110th Street Films
11V,ELEVEN VFX
123,123 Vision Pictures
210,"210 Films, LLC"
257M,25/7 Media
29P,Twenty-Nine Palms Entertainment - Production and distribution
36F,36 FILMS
3CAT,"TV3, 3Cat: Is the public TV from Catalonia (Spain)"
3DV,DEEP VISION 3D
3PIX,PIXCENTRAL
4PTS,4 PUNTOS
4TRS,CU4TRO:TR3S CINE
528,528 Evenings Media
83F,83 Filmes
9LE,9 LIGHT ENTERTAINMENT
A24,A24
AA,American Analog
AAA,AntiAntiArt
ABL,Abrelatas Films
ABLF,American Brightlight Film Productions
ABS,ABS-CBN International
ACA,Les Acacias
ACKP,ACKNOWLEDGE PICTURES
ACN,Across Nations
AD,ART DOYDU
ADDA,Audio Design Digital Art
ADHP,A Doll's House Pictures
ADS,ALLIANCE DIGITAL STUDIOS
AER,AN AER
AFG,ARCHANGEL FILM GROUP
AFLM,A. FILM PRODUCTION
AH1,A Higher Standard
AHS,Alpha Hollywood Studios
AI,"ATOMIC IMAGING, CHICAGO"
AIS,Alien Internet Services
AK,ALASTI KINO
ALIB,ALIBABA GROUP
ALKA,Alka Film
ALT,ALTIMETER FILMS
ALTI,Altitude Film Entertainment
AMBI,AMBI Media Group
AMBL,AMBLIN ENTERTAINMENT
AMGM,Amazon MGM Studios
AMK,AMK Films
AMP,Anima Mundi Productions
AMZN,Amazon Studios [deprecated]
ANF,Anatomica Films
ANG,Angel Studios
ANIM,ANIMASIA STUDIOS
ANML,Anime Limited
ANT,ANTAVIANA FILMS
AP,ANNAPURNA PICTURES
APC,Aurora Picture Company
API,ATTICUS PRODUCTIONS
APL,Apple
ARC,Arctic Life Film
ARCA,Arcadia Studios
ARCF,ARC Film
ARG,Argiréia Produções
ARP,ARP
ART,Arthouse Switzerland
ARTE,ARTE France Cinéma
ARWS,AIRWESS PRODUCTIONS
AS,ASTRO SHAW
ASA,"Artist Star Asia Co.,Ltd."
ASCT,Ascote Elite
ASSB,Astro Studios
AST,Aalto Studios
AT,Adrian Țofei
ATF,ASIA TROPICAL FILMS
ATLS,Atlas Studios
ATR,ATER studio
AV,Audiovisual Films
AVA,"AVALON DISTRIBUCIÓN AUDIOVISUAL, C.L."
AVAS,Avakian Studios
AVC,AV Club Film Productions
AVD,AV-DESIGN
AVE,The Avenue
AVM,Avanpost Media
AX,Axiom Studios
BA,Bundesarchiv
BAGL,BAGLAND
BAQ,Brush & Quill
BB,Bonde Brown
BBF,Bad Blood Films
BBI,Black Bear International
BEE,BEE Movies
BEL,Belga Films
BEMO,Beezal Mop FIlms
BEP,Bear Elegance Productions
BETA,Beta Fiction Spain
BF,BELARUSFILM
BFB,Brightfish Belgium
BFOX,Blue Fox Entertainment
BFP,Bolivar Films
BG,Basement Games
BGP,Blazing Griffin Pictures
BH,BLUMHOUSE PRODUCTIONS
BHF,Bighorn Films
BHS,BLACK HANGER STUDIOS
BIGW,Big World Cinema
BIL,Les Films du Bilboquet
BKF,Bourke
BKND,Blink Industries
BL,Bleat Post Production Ltd
BLDR,Blender Foundation
BLNK,BLANKTAPE
BMC,BLK MGC Content LLC
BMG,BUSCH MEDIA GROUP
BOS,BOSENA
BOY,Bannerboy AB
BPF,Big Picture Films
BPS,Blue Post
BPW,Bridge PostWorks
BRC,Broken Radiator Collective
BRI,Briarclif
BRM,BERRYMOUNT AUTOMATION
BRR,Bright Red Rocket
BRW,BREAKWATER STUDIOS
